#open,high,low,close
0.33625,0.3363,0.3345,0.3348
0.336,0.3375,0.3349,0.3359
0.33425,0.3352,0.33315,0.3342
0.33505,0.3356,0.33255,0.3328
0.33625,0.3386,0.3342,0.3343
0.3334,0.33525,0.33255,0.33465
0.334,0.3342,0.33205,0.3325
0.3348,0.3353,0.3338,0.33465
0.3363,0.3379,0.3344,0.3349
0.33545,0.3372,0.3352,0.33625
0.33915,0.33925,0.33565,0.337
0.3357,0.33955,0.3354,0.3386
0.3375,0.33895,0.33675,0.3371
0.339,0.3395,0.33505,0.3375
0.3393,0.33995,0.3368,0.3397
0.3395,0.33985,0.33755,0.3384
0.33645,0.3399,0.3359,0.3399
0.331,0.33485,0.3302,0.3344
0.33195,0.3321,0.3303,0.3308
