#open,high,low,close
336.25,336.3,334.5,334.8
336,337.5,334.9,335.9
334.25,335.2,333.15,334.2
335.05,335.6,332.55,332.8
336.25,338.6,334.2,334.3
333.4,335.25,332.55,334.65
334,334.2,332.05,332.5
334.8,335.3,333.8,334.65
336.3,337.9,334.4,334.9
335.45,337.2,335.2,336.25
339.15,339.25,335.65,337
335.7,339.55,335.4,338.6
337.5,338.95,336.75,337.1
339,339.5,335.05,337.5
339.3,339.95,336.8,339.7
339.5,339.85,337.55,338.4
336.45,339.9,335.9,339.9
331,334.85,330.2,334.4
331.95,332.1,330.3,330.8
327.75,330.35,327.45,330.2
329.85,330.1,327.1,327.1
330.05,330.65,328.7,330.1
330.2,330.8,329.8,329.9
330.55,331.1,329.25,330.4
327.6,329.65,327.6,329.6
330.05,330.25,327.1,327.45
328.85,330.1,328.3,329.2
328.9,329.85,328.7,329.15
329,330.25,328.15,328.85
328.4,329.3,327.9,328.65
326.95,329.1,326.8,329
324.5,326.9,324.1,326.6
322.3,324.85,321.4,323.5
315.1,317.65,315.05,317.65
314.8,315.9,313.95,314.95
315.55,315.6,314.3,314.75
315.8,316.5,314.65,315.15
317.65,317.95,316.2,317.15
318.95,320.1,316.4,317.1
318.7,319.85,318.35,319.4
320.1,321.6,318.15,319.15
319.65,320.2,319.1,319.4
314.85,320.05,314.65,320.05
312.55,314.6,311.75,314.55
310.75,311.7,309.75,311.6
311,312.35,309.75,309.9
311.85,311.9,309.85,310.55
308.85,311.5,308.65,310.6
307.8,308.1,306.85,307.6
304.55,307.7,304.3,307.55
304.1,304.2,302.7,303.65
305.95,306,303.5,304.05
303.1,306.6,303,304.85
309.1,309.5,306.85,307.65
309.9,310.55,307.4,308
309.5,310.35,308.65,310.35
307.95,309.1,304.45,308.5
311.1,312.05,309.35,309.55
312.25,312.55,310.75,311.6
310,312.05,309.95,311.45
311.5,311.7,309.25,309.95
308.9,310.35,308.9,310.05
309.75,309.8,307.9,308.4
306.5,309.3,306.3,309.1
308.2,309.85,307.3,309.25
308.75,309.15,307.1,307.6
305.2,306.4,304.45,305.95
303.9,305.4,302.3,302.85
309,310.35,306.4,308.6
311.7,312.7,309.65,310
315.1,316.2,312.25,314.2
314.65,316.3,314.1,314.25
312.9,314.9,312.55,314.2
317.55,317.65,310.7,313
318.75,319.45,318.1,318.5
314.15,319.45,313.85,317.9
313.35,315.5,313.25,314.9
320,320.2,313.9,313.9
321.2,322.15,320.35,321.2
321.45,321.6,319.5,320.3
322.55,322.75,320.7,321
322.55,322.65,321.65,322.6
320.7,322.65,320.7,322.45
320.55,321.55,319.55,320.95
319.8,320.05,318.4,320.05
319.15,319.4,318.45,319.4
320.05,320.3,318.65,318.85
318.35,318.8,317.65,318.05
315.85,319.1,315.75,317.9
314.1,314.85,313.75,313.95
312.75,314.35,312.35,314.05
312.4,313.3,311.5,312.15
311.05,312.15,310.45,311.6
313.25,313.3,311.55,312.45
310.6,312.8,310.35,312.45
313.3,313.6,310.85,311
313.25,313.65,311.8,313.3
311.45,312.9,311.2,312.9
313.2,314.6,313.1,313.7
311,312.35,310.85,311.6
311.75,313.3,311.6,312.45
311,312.65,310.7,311.9
309.7,311.2,309.5,310.6
308.7,310,307.8,309.9
308,308.45,306.65,308.15
310.5,310.8,309.15,309.45
307.2,309.8,306.6,309.15
307.1,308,306.5,307.35
308.3,309.35,305.5,307
309.6,310.7,307.65,308.75
306.95,308.85,306.7,308.4
308,308.85,306.3,306.65
307.9,310.6,307.65,309.9
305.75,306.85,304.15,306.75
307.05,307.65,305.4,305.5
308.05,308.7,306.95,307.7
305.2,308.1,305.05,307.85
304.7,305.45,303.15,304.25
304.15,306.4,303.8,305.15
307,307.15,303.2,304.45
308.2,309.5,305.25,306.9
305.6,308.75,305.2,307.45
303.35,305.6,302.4,305.6
302.25,302.95,301.4,302
301.15,303.8,300.7,301.15
300.35,300.9,299,300.7
298.5,299.25,297.85,298.35
296.4,298.9,295.8,298.75
298.9,300.15,298.2,299.6
301.25,302.1,298.3,299.35
299.05,300.3,297.85,299.75
300.2,300.5,298.2,298.75
298.1,300.6,296.85,300.2
300.8,305.6,295.85,296.55
293.05,300.8,292.95,300.8
290.95,292.85,290.8,292.85
289.1,291.65,288.65,290.15
287.5,288.9,287.3,287.9
286.55,287.55,286.15,287.45
286.1,287.35,285.85,286.55
282.15,285.4,282.1,285.3
282,282.6,281.3,281.95
279.4,281.15,279,280.8
276.45,278.35,276,278.35
277.75,278.55,276.25,276.95
279.9,280.1,277.55,278.45
278.45,279.6,277.85,278.75
278.15,278.55,276.2,277.8
276.95,279.25,276.3,279.25
276.4,277.05,275.75,277.05
276.95,277.75,275.45,276
279.3,279.4,277.1,277.75
280.25,280.45,278.15,279.35
280,280.1,278.5,280
281.5,281.85,279.15,280.95
281.8,282.35,280.85,281.45
282.1,283.2,281.55,282
282.3,282.6,281.25,281.7
282.55,283.6,281.45,282.15
282.7,282.8,281.45,282.2
282.15,282.4,281,281.55
281.2,282.2,280.35,280.75
283.3,284.35,282.05,282.85
283.8,284.5,282.8,283.2
281.85,282.85,281.35,282.55
282.15,284.8,281.6,284.05
281.6,281.65,280.25,281.5
280.5,281.95,280.15,281.45
281.3,281.95,279.8,280.3
277.85,278.65,277.45,278.6
276.75,278.15,276.45,278
272.95,276.45,272.8,275.75
271.65,273.3,270.55,272.55
272.3,272.85,271.45,271.45
271.4,272.95,271,272.2
270.55,272.3,270.15,271.65
268.9,270.45,268.35,270.25
271.4,271.6,269,269.65
271.9,273.4,271.35,272.7
269.7,270.6,269.4,269.75
270.65,271.05,268.9,269.5
272.65,273.05,270.2,270.55
272.65,273.1,272.25,273
272.6,273.2,272.35,272.65
270,273.5,269.8,272.25
269.15,269.95,268.7,269.75
267.9,269.25,267.85,269
269.5,270.35,268.55,268.75
267.95,269.5,267.45,268.9
269.75,269.75,267.45,268
268.55,269.15,268.2,268.85
269.55,270.25,268.7,268.75
268.3,269.2,267.45,268.5
268.85,268.9,266.15,268.25
270.35,270.35,268.85,269.35
271.3,271.7,269.2,270.05
269.7,269.95,267.9,269.8
269.95,271.6,268.5,269.2
269.6,270.3,269.45,270.2
269.9,270.3,268.95,269.2
269.5,271.5,268.75,271
269.5,269.5,267.55,268.25
267.55,268.9,267,268
267.25,268.45,265.9,267.15
267.25,268,266.95,267.6
269.2,270.8,266.85,268.15
268.15,268.8,266.1,267.95
267.45,269.25,267.4,268.4
268.35,269.15,266.35,267.4
268.85,269.3,268.55,268.65
268.85,269.9,268.65,268.85
264.2,269.6,264.15,269.05
263.2,264.3,263.2,264
263.95,264.65,263.7,264.05
262.95,264.15,262.9,263.65
263.05,263.35,262.3,262.65
263,263.55,262.8,263.35
261.75,263.2,261.35,263.2
260.05,261.9,259.25,261.2
259.9,260.35,259.25,260.05
260.05,260.75,259.95,260.4
258.9,259.5,258.85,259.5
258.85,259.1,258.5,258.9
258.8,259.1,258.45,258.6
259.4,259.65,258.8,259.1
260.15,260.95,259.15,259.2
259.15,259.9,258.95,259.35
258.2,259.45,258.15,259
257.9,259.15,257.7,258.5
256.8,258.9,256.5,258.35
259.3,260,258.2,258.5
257.75,258.4,257.35,258
259,259,256.95,257.3
257.85,258.2,257.2,258.2
258.4,260.95,258.3,260.8
256.2,256.65,255.6,256.2
254.1,256.05,254.1,255.4
252.2,252.95,251.45,252.7
253.4,253.95,252.25,252.65
254.55,255.05,253.85,254.2
253.05,254.95,253,254.15
253.15,253.65,252.55,252.8
252.3,253.5,250.8,253.15
252.8,253,251.9,252.2
253.65,253.9,251.65,252.45
252.7,254.65,252.3,253.55
250.5,253.05,250.45,252.55
249.8,250.8,249.25,249.8
250.95,251.05,249.3,250.4
249.9,250.85,248.8,250.25
251.15,251.7,250.4,250.45
250.35,251.3,249.55,249.55
252.2,252.8,250.35,250.65
253.4,254,252.15,252.7
253.9,255.65,253.1,255.3
256.8,257.45,246.8,249.9
256.25,256.4,254.35,256
255.8,255.9,254.3,255.15
253.05,253.6,252.25,253.05
252.7,254,252.1,253.7
254.5,254.95,252.8,253.15
256.05,256.5,253.8,256.5
255.75,257.05,255.25,256.5
256.2,257.6,256.2,257.15
256.45,257.15,255.9,256.9
257.6,257.75,254.4,255.7
258.85,259.4,258.3,258.8
258.25,259.65,258.25,259.55
258.5,258.9,257.15,257.65
258.6,259.65,258.35,258.55
257.5,259.65,257.3,258.25
256.4,258.2,256.3,258.1
256.2,257.1,253.95,256.2
255.05,256.5,255.05,255.7
256.4,256.8,254.1,254.3
255.5,257.35,255.35,256.4
260.35,261.1,256.85,257
259.55,261.15,258.35,261
261.15,261.55,260.3,260.55
261.35,261.8,260.05,261.1
257.75,260,257,259.55
259.45,260.4,259,259.5
259,259.75,257.8,258.2
260.15,261.65,260.05,261.05
259.6,259.8,258.8,258.9
257.3,260.4,255.9,260.4
259.05,260,257.65,258.3
259.8,259.8,258.55,259
258.6,260.1,258.35,259.1
254.9,256.85,254.7,256.6
253.8,255.35,253.6,255.1
251.05,254.85,251,254.6
254.6,254.6,251.9,252.05
253.5,254.5,251.15,251.7
259.2,259.65,257.2,258
260.7,261.45,259.55,261.1
260.85,262.1,259.9,259.95
259.7,260.9,259.6,260.85
257.8,259.85,257.75,259.8
256.2,256.55,255.5,256.55
255.15,256.25,254.05,256.25
257.65,257.8,256.15,256.5
257.4,259.1,257.3,257.95
255,256.9,254.4,256.6
256.6,256.85,255.25,256.7
