#0,1,2,3,4,5,6,7
#DATE,KOPEN,KHIGH,KLOW,KCLOSE,UCLOSE,TOPEN,TCLOSE
171121,0.33425,0.3352,0.33315,0.3342,0.2596,0.336,0.3359
171120,0.33505,0.3356,0.33255,0.3328,0.2582,0.33425,0.3342
171117,0.33625,0.3386,0.3342,0.3343,0.2576,0.33505,0.3328
171116,0.3334,0.33525,0.33255,0.33465,0.2585,0.33625,0.3343
171115,0.334,0.3342,0.33205,0.3325,0.2565,0.3334,0.33465
171114,0.3348,0.3353,0.3338,0.33465,0.2578,0.334,0.3325
171113,0.3363,0.3379,0.3344,0.3349,0.2582,0.3348,0.33465
171110,0.33545,0.3372,0.3352,0.33625,0.258,0.3363,0.3349
171109,0.33915,0.33925,0.33565,0.337,0.2584,0.33545,0.33625
171108,0.3357,0.33955,0.3354,0.3386,0.2591,0.33915,0.337
