#0,1,2,3,4,5,6,7
#DATE,KOPEN,KHIGH,KLOW,KCLOSE,UCLOSE,TOPEN,TCLOSE
171121,0.33425,0.3352,0.33315,0.3342,0.2596,0.336,0.3359
171120,0.33505,0.3356,0.33255,0.3328,0.2582,0.33425,0.3342
171117,0.33625,0.3386,0.3342,0.3343,0.2576,0.33505,0.3328
171116,0.3334,0.33525,0.33255,0.33465,0.2585,0.33625,0.3343
171115,0.334,0.3342,0.33205,0.3325,0.2565,0.3334,0.33465
171114,0.3348,0.3353,0.3338,0.33465,0.2578,0.334,0.3325
171113,0.3363,0.3379,0.3344,0.3349,0.2582,0.3348,0.33465
171110,0.33545,0.3372,0.3352,0.33625,0.258,0.3363,0.3349
171109,0.33915,0.33925,0.33565,0.337,0.2584,0.33545,0.33625
171108,0.3357,0.33955,0.3354,0.3386,0.2591,0.33915,0.337
171107,0.3375,0.33895,0.33675,0.3371,0.2587,0.3357,0.3386
171106,0.339,0.3395,0.33505,0.3375,0.2589,0.3375,0.3371
171103,0.3393,0.33995,0.3368,0.3397,0.2583,0.339,0.3375
171102,0.3395,0.33985,0.33755,0.3384,0.2577,0.3393,0.3397
171101,0.33645,0.3399,0.3359,0.3399,0.2575,0.3395,0.3384
171031,0.331,0.33485,0.3302,0.3344,0.2573,0.33645,0.3399
171030,0.33195,0.3321,0.3303,0.3308,0.2568,0.331,0.3344
171027,0.32775,0.33035,0.32745,0.3302,0.2578,0.33195,0.3308
171026,0.32985,0.3301,0.3271,0.3271,0.2562,0.32775,0.3302
171025,0.33005,0.33065,0.3287,0.3301,0.2559,0.32985,0.3271
171024,0.3302,0.3308,0.3298,0.3299,0.2567,0.33005,0.3301
171023,0.33055,0.3311,0.32925,0.3304,0.2563,0.3302,0.3299
171020,0.3276,0.32965,0.3276,0.3296,0.2574,0.33055,0.3304
171019,0.33005,0.33025,0.3271,0.32745,0.2561,0.3276,0.3296
171018,0.32885,0.3301,0.3283,0.3292,0.256,0.33005,0.32745
171017,0.3289,0.32985,0.3287,0.32915,0.2557,0.32885,0.3292
171016,0.329,0.33025,0.32815,0.32885,0.2556,0.3289,0.32915
171013,0.3284,0.3293,0.3279,0.32865,0.2553,0.329,0.32885
171012,0.32695,0.3291,0.3268,0.329,0.2549,0.3284,0.32865
171011,0.3245,0.3269,0.3241,0.3266,0.2553,0.32695,0.329
171010,0.3223,0.32485,0.3214,0.3235,0.2549,0.3245,0.3266
170929,0.3151,0.31765,0.31505,0.31765,0.2516,0.3223,0.3235
170928,0.3148,0.3159,0.31395,0.31495,0.2508,0.3151,0.31765
170927,0.31555,0.3156,0.3143,0.31475,0.2505,0.3148,0.31495
170926,0.3158,0.3165,0.31465,0.31515,0.2496,0.31555,0.31475
170925,0.31765,0.31795,0.3162,0.31715,0.2497,0.3158,0.31515
170922,0.31895,0.3201,0.3164,0.3171,0.2499,0.31765,0.31715
170921,0.3187,0.31985,0.31835,0.3194,0.2501,0.31895,0.3171
170920,0.3201,0.3216,0.31815,0.31915,0.2505,0.3187,0.3194
170919,0.31965,0.3202,0.3191,0.3194,0.2505,0.3201,0.31915
170918,0.31485,0.32005,0.31465,0.32005,0.2503,0.31965,0.3194
170915,0.31255,0.3146,0.31175,0.31455,0.2497,0.31485,0.32005
170914,0.31075,0.3117,0.30975,0.3116,0.2494,0.31255,0.31455
170913,0.311,0.31235,0.30975,0.3099,0.2497,0.31075,0.3116
170912,0.31185,0.3119,0.30985,0.31055,0.2496,0.311,0.3099
170911,0.30885,0.3115,0.30865,0.3106,0.2488,0.31185,0.31055
170908,0.3078,0.3081,0.30685,0.3076,0.2463,0.30885,0.3106
170907,0.30455,0.3077,0.3043,0.30755,0.2466,0.3078,0.3076
170906,0.3041,0.3042,0.3027,0.30365,0.2466,0.30455,0.30755
170905,0.30595,0.306,0.3035,0.30405,0.246,0.3041,0.30365
170904,0.3031,0.3066,0.303,0.30485,0.2474,0.30595,0.30405
170901,0.3091,0.3095,0.30685,0.30765,0.2474,0.3031,0.30485
170831,0.3099,0.31055,0.3074,0.308,0.247,0.3091,0.30765
170830,0.3095,0.31035,0.30865,0.31035,0.2456,0.3099,0.308
170829,0.30795,0.3091,0.30445,0.3085,0.2447,0.3095,0.31035
170828,0.3111,0.31205,0.30935,0.30955,0.2444,0.30795,0.3085
170825,0.31225,0.31255,0.31075,0.3116,0.2443,0.3111,0.30955
170824,0.31,0.31205,0.30995,0.31145,0.2441,0.31225,0.3116
170823,0.3115,0.3117,0.30925,0.30995,0.2442,0.31,0.31145
170822,0.3089,0.31035,0.3089,0.31005,0.2453,0.3115,0.30995
170821,0.30975,0.3098,0.3079,0.3084,0.2428,0.3089,0.31005
170818,0.3065,0.3093,0.3063,0.3091,0.2427,0.30975,0.3084
170817,0.3082,0.30985,0.3073,0.30925,0.243,0.3065,0.3091
170816,0.30875,0.30915,0.3071,0.3076,0.2468,0.3082,0.30925
170814,0.3052,0.3064,0.30445,0.30595,0.2464,0.30875,0.3076
170811,0.3039,0.3054,0.3023,0.30285,0.244,0.3052,0.30595
170810,0.309,0.31035,0.3064,0.3086,0.2438,0.3039,0.30285
170809,0.3117,0.3127,0.30965,0.31,0.2473,0.309,0.3086
170808,0.3151,0.3162,0.31225,0.3142,0.2473,0.3117,0.31
170807,0.31465,0.3163,0.3141,0.31425,0.2477,0.3151,0.3142
170804,0.3129,0.3149,0.31255,0.3142,0.2472,0.31465,0.31425
170803,0.31755,0.31765,0.3107,0.313,0.2472,0.3129,0.3142
170802,0.31875,0.31945,0.3181,0.3185,0.2474,0.31755,0.313
170801,0.31415,0.31945,0.31385,0.3179,0.2472,0.31875,0.3185
170731,0.31335,0.3155,0.31325,0.3149,0.2468,0.31415,0.3179
170728,0.32,0.3202,0.3139,0.3139,0.247,0.31335,0.3149
170727,0.3212,0.32215,0.32035,0.3212,0.2472,0.32,0.3139
170726,0.32145,0.3216,0.3195,0.3203,0.2473,0.3212,0.3212
170725,0.32255,0.32275,0.3207,0.321,0.2474,0.32145,0.3203
170724,0.32255,0.32265,0.32165,0.3226,0.2468,0.32255,0.321
170721,0.3207,0.32265,0.3207,0.32245,0.2469,0.32255,0.3226
170720,0.32055,0.32155,0.31955,0.32095,0.2471,0.3207,0.32245
170719,0.3198,0.32005,0.3184,0.32005,0.2471,0.32055,0.32095
170718,0.31915,0.3194,0.31845,0.3194,0.2458,0.3198,0.32005
170717,0.32005,0.3203,0.31865,0.31885,0.2459,0.31915,0.3194
170714,0.31835,0.3188,0.31765,0.31805,0.2456,0.32005,0.31885
